BRAND;ADDRESS;RATING;UAB;UABWEEK;UABMON;UABTUE;UABWED;UABTHU;UABFRI;UABSAT;UABSUN;PARKLOT;OPENTIME;OPEN6AM;OPEN7AM;OPEN8AM;OPENAFTER8;REVIEWS;AVGTIME;WORK_24HRS;SUNDAYS;WORSTREVIEWS;lat;long;DISTCENT;Open_hour_Mo;Open_hour_Di;Open_hour_Mi;Open_hour_Do;Open_hour_Fr;Open_hour_Sa;Open_hour_So;COMCENTER;NUM_COMMENTS;NEG_COMMENTPRICE;NEG_COMMENTFOOD;NEGPOS_RATIO;POSNEG_RATIO;NEG_REVIEWS;POS_REVIEWS;perc_BH
REWE Markt;Yorckstraﬂe 78, 10965 Berlin;3.8;12;3;0;0;0;0;3;9;0;0;1;1;0;0;0;652;15;0;0;61;52.4931195;13.3829936;2.60245837;18;18;18;14;18;17.5;0;0;24;12;1;0.215419501;4.642105263;95;441;0.12
REWE Markt;Am Ostbahnhof 9, 10243 Berlin;4.1;5;0;0;0;0;0;0;0;5;1;1;1;0;0;0;2179;20;0;1;126;52.5096044;13.4352014;3.965427239;18;18;18;20;18;18;18;1;58;3;0;0.127051672;7.870813397;209;1645;0.04
EDEKA Friedrichstraﬂe;Friedrichstraﬂe 246, 10969 Berlin;3.3;22;16;6;5;5;0;0;6;0;1;2;0;1;0;0;545;15;0;0;70;52.5007211;13.3913148;1.96172166;15;15;15;14;15;15;0;0;67;57;8;0.594594595;1.681818182;154;259;0.25
EDEKA Thaut;Jessnerstraﬂe 47-55, 10247 Berlin;3.9;19;10;0;4;1;3;2;9;0;0;2;0;1;0;0;424;20;0;0;50;52.509941;13.4707456;6.342585035;15;15;15;14;15;15;0;0;10;3;1;0.227722772;4.391304348;69;303;0.21
EDEKA Berlin Yorckstraﬂe;Yorckstraﬂe 14, 10965 Berlin;3.8;15;8;0;3;3;2;0;7;0;0;2;0;1;0;0;245;15;0;0;22;52.4939562;13.3840409;2.521348161;15;15;15;14;15;15;0;0;21;18;2;0.232704403;4.297297297;37;159;0.17
Nah und Gut Geyik;Gneisenaustraﬂe 84, 10961 Berlin;4.2;3;1;1;0;0;0;0;2;0;0;2;0;1;0;0;116;10;0;0;7;52.4915899;13.396834;3.038328882;14;14;14;14;14;13;0;0;4;0;0;0.181818182;5.5;16;88;0.04
EDEKA Schnelle;Andreasstraﬂe 59, 10243 Berlin;3.8;45;37;4;9;9;9;6;8;0;1;2;0;1;0;0;1204;15;0;0;117;52.5148704;13.4313149;3.635127772;14;14;14;14;14;14;0;0;49;39;9;0.225885226;4.427027027;185;819;0.54
PENNY;Am Ostbahnhof 9, 10243 Berlin;4;4;0;0;0;0;0;0;0;4;1;2;0;1;0;0;595;20;0;1;56;52.5098947;13.4342925;3.898929615;16;16;16;14;16;16;16;1;35;5;1;0.173913043;5.75;76;437;0.04
Netto - G¸nstig. Besser. F¸r dich.;Koppenstraﬂe 93, 10243 Berlin;3.8;32;27;1;8;7;4;7;5;0;0;3;0;0;1;0;368;15;0;0;34;52.512251;13.4331679;3.784010799;13;13;13;14;13;13;0;0;32;24;3;0.251046025;3.983333333;60;239;0.41
ALDI Nord;Revaler Str. 33, 10245 Berlin;3.8;16;14;0;7;5;0;2;2;0;1;3;0;0;1;0;410;20;0;0;29;52.5056683;13.4600184;5.70043168;13;13;13;13;13;13;0;0;18;15;0;0.225296443;4.438596491;57;253;0.21
REWE Markt;Tamara-Danz-Straﬂe 11, 10243 Berlin;4.3;4;0;0;0;0;0;0;4;0;1;2;0;1;0;0;1316;10;0;0;70;52.5059918;13.4476878;4.877620397;16;16;16;14;16;16;0;1;36;1;0;0.099000908;10.10091743;109;1101;0.04
Eurogida Kreuzberg;Wrangelstraﬂe 85, 10997 Berlin;4.1;4;0;0;0;0;0;0;4;0;1;3;0;0;1;0;641;15;0;0;32;52.49898;13.4413357;4.721724248;12;12;12;12;12;12;0;0;20;2;0;0.104330709;9.58490566;53;508;0.06
ALDI Berlin-Friedrichshain;R¸dersdorfer Str. 65, 10243 Berlin;4.2;25;19;3;5;6;3;2;6;0;1;2;0;1;0;0;536;20;0;0;20;52.5111187;13.4453941;4.621510483;14;14;14;14;14;14;0;0;7;0;0;0.075;13.33333333;33;440;0.3
EDEKA Rigaer Straﬂe;Rigaer Str. 44, 10247 Berlin;3.6;24;14;2;3;4;2;3;10;0;0;2;0;1;0;0;404;15;0;0;59;52.5157387;13.4682726;6.135618649;16;16;16;14;16;16;0;0;52;44;6;0.338582677;2.953488372;86;254;0.26
Eurogida;Wilmersdorfer Str. 46-54, 10627 Berlin;4.2;8;0;0;0;0;0;0;8;0;1;3;0;0;1;0;697;10;0;0;35;52.5087879;13.304297;5.042511715;13;13;13;13;13;13;0;1;30;2;0;0.09948542;10.05172414;58;583;0.1
Netto Marken-Discount;Bergmannstraﬂe 5, 10961 Berlin;3.7;8;8;3;0;2;3;0;0;0;0;2;0;1;0;0;406;10;0;0;33;52.4896483;13.3888988;3.059602795;15;15;15;15;15;15;0;0;12;10;1;0.237704918;4.206896552;58;244;0.09
Lidl;Warschauer Pl. 14, 10245 Berlin;4;22;15;3;3;5;2;2;7;0;0;2;0;1;0;0;1030;20;0;0;43;52.5049714;13.4501783;5.068847135;14;14;14;14;14;14;0;0;30;4;0;0.109974425;9.093023256;86;782;0.26
EDEKA Reske;Frankfurter Allee 35-37, 10247 Berlin;4.1;8;5;1;2;2;0;0;3;0;0;3;0;0;1;0;313;20;0;0;25;52.5155164;13.462003;5.711249716;13;13;13;14;13;13;0;1;24;2;1;0.140495868;7.117647059;34;242;0.1
Netto City;Kochhannstraﬂe 40, 10249 Berlin;3.9;11;8;2;3;2;1;0;3;0;0;2;0;1;0;0;247;15;0;0;14;52.5239706;13.4468634;4.762265889;14;14;14;14;14;14;0;0;13;4;0;0.145251397;6.884615385;26;179;0.13
ALDI Nord;Tamara-Danz-Straﬂe 11, 10243 Berlin;4.1;6;0;0;0;0;0;0;6;0;1;4;0;0;0;1;242;10;0;0;10;52.5063461;13.4458964;4.750378921;12;12;12;12;12;12;0;1;1;0;0;0.122994652;8.130434783;23;187;0.08
Lidl;Markgrafendamm 25C, 10245 Berlin;4.4;11;3;0;2;1;0;0;8;0;1;2;0;1;0;0;195;20;0;0;9;52.5003691;13.4653328;6.19561976;15;15;15;14;15;15;0;0;6;0;0;0.095808383;10.4375;16;167;0.12
Zora Supermarkt 2;Boxhagener Str. 80, 10245 Berlin;4.3;2;0;0;0;0;0;0;2;0;0;4;0;0;0;1;51;15;0;0;5;52.507969;13.4675769;6.158543105;12;12;12;12;12;13;0;0;5;0;0;0.119047619;8.4;5;42;0.03
Lidl;Eldenaer Str. 34A, 10247 Berlin;4.2;6;0;0;0;0;0;0;6;0;1;2;0;1;0;0;810;20;0;0;36;52.5208671;13.4676963;6.117328552;14;14;14;14;14;14;0;0;26;2;0;0.082458771;12.12727273;55;667;0.07
REWE Markt;Landsberger Allee 68, 10249 Berlin;3.9;26;16;0;4;6;2;4;10;0;0;2;0;1;0;0;1071;15;0;0;94;52.5258166;13.4469541;4.809382824;17;17;17;14;17;16.5;0;0;32;11;2;0.189189189;5.285714286;147;777;0.26
