RATING;UAB;UABSAT;PARKLOT;OPENTIME;OPEN6AM;OPEN7AM;OPEN8AM;OPENAFTER8;REVIEWS;AVGTIME;WORK_24HRS;SUNDAYS;WORSTREVIEWS;DISTCENT;Open_hourSUM;COMCENTER;NUM_COMMENTS;NEG_COMMENTPRICE;NEG_COMMENTFOOD;NEG_REVIEWS;POS_REVIEWS;perc_BH
3.8;12;9;0;1;1;0;0;0;652;15;0;0;61;2.60245837;103.5;0;24;12;1;95;441;0.12
4.1;5;0;1;1;1;0;0;0;2179;20;0;1;126;3.965427239;128;1;58;3;0;209;1645;0.04
3.3;22;6;1;2;0;1;0;0;545;15;0;0;70;1.96172166;89;0;67;57;8;154;259;0.25
3.9;19;9;0;2;0;1;0;0;424;20;0;0;50;6.342585035;89;0;10;3;1;69;303;0.21
3.8;15;7;0;2;0;1;0;0;245;15;0;0;22;2.521348161;89;0;21;18;2;37;159;0.17
4.2;3;2;0;2;0;1;0;0;116;10;0;0;7;3.038328882;83;0;4;0;0;16;88;0.04
3.8;45;8;1;2;0;1;0;0;1204;15;0;0;117;3.635127772;84;0;49;39;9;185;819;0.54
4;4;0;1;2;0;1;0;0;595;20;0;1;56;3.898929615;110;1;35;5;1;76;437;0.04
3.8;32;5;0;3;0;0;1;0;368;15;0;0;34;3.784010799;79;0;32;24;3;60;239;0.41
3.8;16;2;1;3;0;0;1;0;410;20;0;0;29;5.70043168;78;0;18;15;0;57;253;0.21
4.3;4;4;1;2;0;1;0;0;1316;10;0;0;70;4.877620397;94;1;36;1;0;109;1101;0.04
4.1;4;4;1;3;0;0;1;0;641;15;0;0;32;4.721724248;72;0;20;2;0;53;508;0.06
4.2;25;6;1;2;0;1;0;0;536;20;0;0;20;4.621510483;84;0;7;0;0;33;440;0.3
3.6;24;10;0;2;0;1;0;0;404;15;0;0;59;6.135618649;94;0;52;44;6;86;254;0.26
4.2;8;8;1;3;0;0;1;0;697;10;0;0;35;5.042511715;78;1;30;2;0;58;583;0.1
3.7;8;0;0;2;0;1;0;0;406;10;0;0;33;3.059602795;90;0;12;10;1;58;244;0.09
4;22;7;0;2;0;1;0;0;1030;20;0;0;43;5.068847135;84;0;30;4;0;86;782;0.26
4.1;8;3;0;3;0;0;1;0;313;20;0;0;25;5.711249716;79;1;24;2;1;34;242;0.1
3.9;11;3;0;2;0;1;0;0;247;15;0;0;14;4.762265889;84;0;13;4;0;26;179;0.13
4.1;6;6;1;4;0;0;0;1;242;10;0;0;10;4.750378921;72;1;1;0;0;23;187;0.08
4.4;11;8;1;2;0;1;0;0;195;20;0;0;9;6.19561976;89;0;6;0;0;16;167;0.12
4.3;2;2;0;4;0;0;0;1;51;15;0;0;5;6.158543105;73;0;5;0;0;5;42;0.03
4.2;6;6;1;2;0;1;0;0;810;20;0;0;36;6.117328552;84;0;26;2;0;55;667;0.07
3.9;26;10;0;2;0;1;0;0;1071;15;0;0;94;4.809382824;98.5;0;32;11;2;147;777;0.26
4;3;3;1;2;0;1;0;0;427;15;0;0;28;6.160520708;94;0;2;0;0;44;327;0.03
3.9;0;0;0;0;0;0;0;0;14;0;1;0;3;5.187295765;48.5;0;3;2;0;3;10;0
3.6;26;4;0;3;0;0;1;0;560;15;0;0;71;4.271186514;74;0;30;25;5;120;341;0.35
3.9;3;3;1;2;0;1;0;0;1424;20;0;0;81;1.454631686;89;0;71;32;2;158;1010;0.03
4.1;12;7;1;2;0;1;0;0;504;20;0;0;25;3.509376884;84;0;18;1;0;42;392;0.14
4.6;13;4;1;4;0;0;0;1;16;15;0;0;0;4.505335987;72;0;0;0;0;0;14;0.18
3.9;10;2;0;2;0;1;0;0;317;15;0;0;9;4.652388945;90;0;5;2;0;30;211;0.11
4.4;20;5;0;3;0;0;1;0;962;20;0;0;34;3.509682355;72;0;22;1;0;48;822;0.28
4.2;15;9;0;2;0;1;0;0;417;20;0;0;26;5.979657352;89;0;21;2;1;31;333;0.17
4;22;6;0;2;0;1;0;0;513;20;0;0;30;3.690428621;89;0;3;1;0;56;381;0.25
3.8;4;3;1;2;0;1;0;0;130;20;0;0;22;6.203103993;89;0;2;2;0;27;91;0.05
3.7;19;7;0;2;0;1;0;0;636;15;0;0;72;5.982290318;90;0;67;54;11;113;401;0.21
4.1;21;11;1;0;0;0;0;0;1992;20;1;0;123;2.490163745;95;1;36;3;1;211;1521;0.22
3.9;16;6;1;2;0;1;0;0;564;15;0;0;45;3.506989589;84;0;43;19;2;82;412;0.19
4.2;14;3;1;2;0;1;0;0;227;15;0;0;19;6.411735212;84;0;14;1;0;31;177;0.17
4.2;8;7;1;2;0;1;0;0;3021;32.5;0;0;99;5.756670835;98.5;0;2;0;0;192;2450;0.08
3.9;31;8;1;2;0;1;0;0;377;15;0;0;26;3.254986783;89;0;6;2;1;54;266;0.35
3.9;11;8;1;2;0;1;0;0;1290;10;0;0;98;5.769930769;94;0;27;10;3;163;942;0.12
4.5;4;0;0;3;0;0;1;0;59;15;0;0;2;3.842733593;78;0;1;0;0;3;52;0.05
3.9;19;8;1;2;0;1;0;0;875;15;0;0;86;4.940810112;84;0;52;24;2;117;640;0.23
4.1;12;9;1;2;0;1;0;0;1003;20;0;0;56;4.216916436;86.5;0;2;0;0;94;774;0.14
4.2;0;0;1;3;0;0;1;0;304;10;0;0;16;3.308993579;78;1;9;1;0;24;257;0
4;8;6;1;3;0;0;1;0;294;15;0;0;20;3.792988664;74;0;8;1;0;34;214;0.11
3.8;7;7;0;2;0;1;0;0;836;20;0;0;81;3.046108787;98.5;0;72;41;20;133;559;0.07
4.2;10;9;1;0;0;0;0;0;2460;20;1;0;113;4.825813494;66;0;89;5;0;169;2029;0.15
4.1;9;9;1;2;0;1;0;0;3376;32.5;0;0;155;5.367680766;89;0;132;9;3;269;2674;0.1
3.7;14;4;0;3;0;0;1;0;77;15;0;0;15;6.118596605;79;0;11;10;1;18;53;0.18
4.3;7;0;0;3;0;0;1;0;92;15;0;0;4;4.615690776;79;0;3;0;0;5;83;0.09
4.3;5;5;1;3;0;0;1;0;214;10;0;0;12;5.014774281;78;1;10;0;0;17;183;0.06
3.6;6;5;0;3;0;0;1;0;48;15;0;0;10;5.580463224;79;0;8;6;2;13;30;0.08
4.1;7;7;0;3;0;0;1;0;2144;20;0;0;138;3.812909305;72;0;21;2;0;214;1661;0.1
4.1;3;3;0;3;0;0;1;0;721;20;0;0;43;3.145581241;72;0;11;1;0;70;561;0.04
3.8;5;5;1;2;0;1;0;0;187;10;0;0;26;6.686205988;89;1;19;15;3;40;126;0.06
2.8;7;5;0;3;0;0;1;0;46;15;0;0;17;6.076266476;79;0;12;11;1;24;20;0.09
4.6;3;3;0;4;0;0;0;1;180;15;0;0;4;3.2372782;60;0;3;0;0;8;166;0.05
3.9;7;1;1;2;0;1;0;0;42;20;0;0;2;7.034388285;84;0;1;0;0;5;30;0.08
4.2;5;5;0;3;0;0;1;0;577;20;0;0;33;2.453338972;72;0;13;1;0;49;455;0.07
3.9;7;7;0;3;0;0;1;0;1421;15;0;0;132;7.686741868;72;0;42;11;1;201;1038;0.1
2.4;9;5;0;4;0;0;0;1;56;15;0;0;25;5.077466833;74;0;16;13;2;32;17;0.12
3.2;2;0;0;3;0;0;1;0;56;15;0;0;12;5.008115255;79;0;6;6;0;19;29;0.03
4.1;7;7;1;2;0;1;0;0;702;25;0;0;43;2.883562851;84;0;6;0;0;68;550;0.08
4.1;7;5;0;2;0;1;0;0;54;10;0;0;2;3.554287266;78;0;1;0;0;7;38;0.09
3.6;6;6;0;2;0;1;0;0;1058;20;0;0;120;3.360131203;98.5;0;80;71;7;210;607;0.06
4;5;0;1;3;0;0;1;0;359;15;0;0;22;5.335556226;68;0;2;0;0;41;262;0.07
4;12;7;1;2;0;1;0;0;625;20;0;0;42;2.944306607;84;0;40;6;2;70;455;0.14
3.7;16;8;1;2;0;1;0;0;564;15;0;0;49;2.246583648;89;0;7;6;1;94;347;0.18
3.7;4;3;0;2;0;1;0;0;454;15;0;0;39;4.782643704;98.5;0;21;19;2;80;289;0.04
4.2;17;3;1;2;0;1;0;0;12;15;0;0;1;1.668646228;103.5;0;1;0;0;2;10;0.16
4.2;0;0;1;2;0;1;0;0;413;20;0;0;17;4.170666353;89;0;4;0;0;34;336;0
4.1;16;6;1;2;0;1;0;0;1204;20;0;0;55;1.599197897;84;0;15;1;0;101;911;0.19
3.8;12;7;0;2;0;1;0;0;281;15;0;0;17;3.68573057;104;0;2;1;0;39;167;0.12
4;18;8;1;2;0;1;0;0;525;15;0;0;35;3.144007961;89;0;23;2;1;61;385;0.2
4.3;5;5;1;1;1;0;0;0;391;10;0;0;17;3.989759847;91.5;0;1;0;0;33;331;0.06
3.8;7;7;1;2;0;1;0;0;429;15;0;0;31;4.425148884;89;0;11;9;1;64;257;0.08
4.2;2;0;1;3;0;0;1;0;881;10;0;0;31;0.950337197;84;1;24;2;1;57;711;0.02
